University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Website,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
UBC,3281,2800,BC,Vancouver,Physics,Department of Physics & Astronomy,PhD,,5515.71,1076.7,6592.41,9690.18,1313.7,11003.88,3200,Yes,4,33878,27285.59,33878,26074.12,288,,2024-03-28,2023/2024,2,2,3,3,,,,25285,Vancouver,28971.553,2988,35856,-1685.963,-8570.41,-20570.41,-2897.433,-9781.88,-21781.88
UdeM,1277,442,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,MSc,https://bio.umontreal.ca/english/student-resources/financial-support/#c83414,4450.95,1992.27,6443.22,30479.85,1992.27,32472.12,,Yes,?,13000,6556.78,,,,,2024-06-06,2024,1,1.5,3,1,"No statement about how long tuition is guarenteed, TA hours, etc",https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://bio.umontreal.ca/english/student-resources/financial-support/,20753,Montreal,23778.7874,1769,21228,-17222.0074,-14671.22,-26671.22,-43250.9074,-40700.12,-52700.12
UdeM,1277,442,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,PhD,https://bio.umontreal.ca/english/student-resources/financial-support/#c83414,4450.95,1911.27,6362.22,27359.55,1911.27,29270.82,,Yes,?,15000,8637.78,,,,,2024-06-06,2024,1,1.5,3,1,,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://bio.umontreal.ca/english/student-resources/financial-support/,20753,Montreal,23778.7874,1769,21228,-15141.0074,-12590.22,-24590.22,-38049.6074,-35498.82,-47498.82
UdeM,1277,442,QC,Montreal,Physics,Department of Physics,MSc,https://phys.umontreal.ca/english/home/,4450.95,1962.27,6413.22,30479.85,1962.27,32442.12,,Yes,?,16900,10486.78,,,,,2024-06-06,2024-2025,1,1.5,3,0,"No statement about how long tuition is guarenteed, TA hours, etc",https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://phys.umontreal.ca/english/student-resources/financial-support/,20753,Montreal,23778.7874,1769,21228,-13292.0074,-10741.22,-22741.22,-39320.9074,-36770.12,-48770.12
UdeM,1277,442,QC,Montreal,Physics,Department of Physics,PhD,https://phys.umontreal.ca/english/home/,4450.95,1962.27,6413.22,27359.55,1962.27,29321.82,,Yes,?,19400,12986.78,,,,,2024-06-06,2024-2025,1,1.5,3,0,,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://phys.umontreal.ca/english/student-resources/financial-support/,20753,Montreal,23778.7874,1769,21228,-10792.0074,-8241.22,-20241.22,-33700.6074,-31149.82,-43149.82
University of Toronto,3724,3267,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,MSc,https://eeb.utoronto.ca/education/graduate/,6390,2000,8390,28900,2800,31700,Some exemptions available,Yes,16 months,33214,24824,,,140 hours per year,Not specified,2024-03-12,2023-4,,,3,1,"The best most informative stipend page I've found yet for Ecology programs, which is still not complete. Note: this is the department of SOS Chair of the Board Prof. Marc Johnson. Tuition data on the other hand directed me from program page to Student Accounts page to Planning & Budget page. Some information on international students possibly eligible for an exemption allowing them to pay domestic fees. Actual tuition information buried in an Appendix in a PDF",https://planningandbudget.utoronto.ca/tuition-fee-lookup-tool/,https://eeb.utoronto.ca/education/graduate/graduate-finances/graduate-stipends/,24864,Toronto,28489.1712,2620,31440,-3665.1712,-6616,-18616,-26975.1712,-29926,-41926
University of Toronto,3724,3267,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,PhD,https://eeb.utoronto.ca/education/graduate/,6210,2000,8210,6210,2800,9010,Some exemptions available,Yes,"4-5, depending on admission stream (direct entry into PhD, or roll-up from MSc)",33214,25004,,,140 hours per year,Not specified,2024-03-12,2023-4,,,3,1,,https://planningandbudget.utoronto.ca/tuition-fee-lookup-tool/,https://eeb.utoronto.ca/education/graduate/graduate-finances/graduate-stipends/,24864,Toronto,28489.1712,2620,31440,-3485.1712,-6436,-18436,-4285.1712,-7236,-19236
University of Toronto,3724,3267,ON,Toronto,Physics,Physics,MSc,https://www.physics.utoronto.ca/graduate/,6390,2000,8390,28900,2800,31700,,Yes,,36890,28500,,28500,140 hours per year,,2024-07-15,2023-4,1,1,3,3,,https://planningandbudget.utoronto.ca/tuition-fee-lookup-tool/,https://www.physics.utoronto.ca/documents/545/FINSUP25Aug2023.pdf,24864,Toronto,28489.1712,2620,31440,10.8288,-2940,-14940,10.8288,-2940,-14940
University of Toronto,3724,3267,ON,Toronto,Physics,Physics,PhD,https://www.physics.utoronto.ca/graduate/,6210,2000,8210,6210,2800,9010,,Yes,,36710,28500,,28500,140 hours per year,,2024-07-15,2023-4,1,1,3,3,,https://planningandbudget.utoronto.ca/tuition-fee-lookup-tool/,https://www.physics.utoronto.ca/documents/545/FINSUP25Aug2023.pdf,24864,Toronto,28489.1712,2620,31440,10.8288,-2940,-14940,10.8288,-2940,-14940
UQAM,628,,QC,Montreal,Biological Sciences - Ecology,DÇpartement des sciences biologiques,MSc,https://bio.uqam.ca/en/#,4315,,4315,23840,,23840,,Yes,2,12500,8185,,,,,2024-06-04,2024-2025,1,1,0,0,Tuition & Fees are presented together,https://etudier.uqam.ca/cout-bourses,,20753,Montreal,23778.7874,1769,21228,-15593.7874,-13043,-25043,-35118.7874,-32568,-44568
UQAM,628,,QC,Montreal,Physics,"No physics department, using Sciences de l?atmosphäre: mÇtÇo et climat",PhD,,4315,,4315,4315,,4315,,Yes,,13000,8685,,,,,2024-06-04,,1,1,0,0,,,,20753,Montreal,23778.7874,1769,21228,-15093.7874,-12543,-24543,-15093.7874,-12543,-24543
UQAM,628,,QC,Montreal,Biological Sciences - Ecology,DÇpartement des sciences biologiques,PhD,,4315,,4315,4315,,4315,Full,Yes,4,17000,12685,,,,,2024-06-04,2024-2025,1,1,1,0,"?        ?Do you offer a guaranteed stipend for graduate students (both master?s and PhD)?
The program of biology at UQAM imposes professors to pay a minimum stipends per student per year.
MSc = $12500 / PhD = $17000
Professors can ask for a maximum of one derogation. In biology, most professors pay their student more than this minimum (I would say the average is around $20000 before TAships, which means that students may be able to get around $25000 per year, they may also apply to institutional fellowships to get more money, and again whether the supervisors reduces their contribution or not depends on the professor).
UQAM also provides 13 000$ as an automatic institutional fellowship to every PhD student (5K 1st year ; 4k 2nd year ; 4K 3rd year). But professors can decide to include or not that amount in the minimum stipend described above.

?        ?If so, how many years is this stipend guaranteed for?
MSc = 2 years (6 terms) / PhD = 4 years (12 terms). There is no obligation, but most professors would extend the stipends if the student needs to extend their registration. 

?        ?What is the minimum value of this stipend (either gross or net of tuition)?
See above (gross).

?        ?Are students required to TA or RA on non-thesis-related work to attain this minimum level?
No. Students can choose to add TAships to this stipends. They generally do. 
I?ve heard some professors asked their students to do non-thesis-related research work, but I don?t think it?s the norm.

?        ?If TAing or RAing is required, how many hours per year (or week) does this entail?
We set a maximum number of TAships per year, because too much teaching could delay the thesis work. 

?        ?Does the department have any initiatives in place to mitigate higher tuition and healthcare costs for international students?
Yes. All the international PhD students (or the Canadian non Quebecer students) pay tuition fees that are equivalent to those of Quebec residents. That comes from an automatic tuition support from UQAM institution.
Unfortunately it?s not automatic for Master?s students, but UQAM?s Faculty of Science provides some fellowships per year to reduce tuition fees to the same level as Quebec students for the two years of the MSc.
If you want to get more information on tuition fees at UQAM: https://etudier.uqam.ca/cout-bourses
Every students who comes to Quebec, becomes a (temporary) Quebec resident and thus gets the provincial health care coverage.
I hope this will help. Thanks a lot for you actions! It?s really appreciated. I?ll try to change the content of the web page to add this type of information.
Best
Denis
",,https://etudier.uqam.ca/programme?code=3805,20753,Montreal,23778.7874,1769,21228,-11093.7874,-8543,-20543,-11093.7874,-8543,-20543
Victoria,691,523,BC,Victoria,Biological Sciences - Ecology,Department of Biology,MSc,https://www.uvic.ca/science/biology/graduate/program/index.php,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,2,22000,14239.5,22000,12566.22,,,2024-04-29,2023/2024,0,1,3,2,,,"The 2024-5 tuition years are posted on the website at the time of data collection. I emailed the program to request 2023-4 stipend data (22k per year). The stipend will be raised to 26,000 this coming academic year. ",22255,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-12099.14,-10720.5,-22720.5,-13772.42,-12393.78,-24393.78
Victoria,691,523,BC,Victoria,Biological Sciences - Ecology,Department of Biology,PhD,,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,4,22000,14239.5,22000,12566.22,,,2024-04-29,2023/2024,0,1,3,2,,,,22255,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-12099.14,-10720.5,-22720.5,-13772.42,-12393.78,-24393.78
Victoria,691,523,BC,Victoria,Physics,Department of Physics & Astronomy,MSc,https://www.uvic.ca/science/physics/,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,2*,24967,17206.5,26467,17033.22,100,,2024/03-28,2023/2024,0,0.5,1,2,"The guaranteed support levels will be in effect for 2 years for a student in an MSc program, up to 5 years beyond the BSc level for a student in a PhD transfer program, 3 years for a student in a PhD program, and 4 years for a PhD student who arrives at UVic with an MSc from another university. There is no Graduate Award beyond these time limits. Arrangements for RA contributions after the time limits are between the student and supervisor.",,https://www.uvic.ca/science/physics/current/masters/financial/index.php,22255,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-9132.14,-7753.5,-19753.5,-9305.42,-7926.78,-19926.78
Victoria,691,523,BC,Victoria,Physics,Department of Physics & Astronomy,PhD,,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,4*,26867,19106.5,28367,18933.22,100,,2024/03-28,2023/2024,0,0.5,1,2,,,https://www.uvic.ca/science/physics/current/doctorate/financial/index.php,22255,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-7232.14,-5853.5,-17853.5,-7405.42,-6026.78,-18026.78
Waterloo,1226,492,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,MSc,https://uwaterloo.ca/biology/graduate-studies ,6762,1610.82,8372.82,23088,2366.82,25454.82,Additional funding may be available to offset international tuition differential,Yes,2,26073,17700.18,,,10 hours/week for 2 terms if holding a GTA,,2024-03-12,2023-4,0,1,2,1,"Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is 
not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student.ˇNote that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/biology/sites/default/files/uploads/documents/bgs-handbook-2324-v2.pdf,22170,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-7702.206,-2867.82,-14867.82,-24784.206,-19949.82,-31949.82
Waterloo,1226,492,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,PhD,https://uwaterloo.ca/biology/graduate-studie ,6762,1610.82,8372.82,22188,2366.82,24554.82,,Yes,4,26073,17700.18,,,10 hours/week for 2 terms if holding a GTA,,2024-03-12,2023-4,0,1,2,1,,https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/biology/sites/default/files/uploads/documents/bgs-handbook-2324-v2.pdf,22170,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-7702.206,-2867.82,-14867.82,-23884.206,-19049.82,-31049.82
Waterloo,1226,492,ON,Waterloo,Physics,Department of Physics and Astronomy,MSc,https://uwaterloo.ca/physics-astronomy/,6762,1610.82,8372.82,23088,2366.82,25454.82,,Yes,2,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,2024-03-20,2023-4,0,1,3,1,"Stipend estimated value is after fees and tuition. Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student. Note that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/graduate-studies-postdoctoral-affairs/current-students/minimum-funding,22170,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-4402.386,432,-11568,-4402.386,432,-11568
Waterloo,1226,492,ON,Waterloo,Physics,Department of Physics and Astronomy,PhD,https://uwaterloo.ca/physics-astronomy/,6762,1610.82,8372.82,22188,2366.82,24554.82,,Yes,4,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,2024-03-20,2023-4,0,1,3,1,,https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/graduate-studies-postdoctoral-affairs/current-students/minimum-funding,22170,"Waterloo ont, 113520 population, large population center",25402.386,1714,20568,-4402.386,432,-11568,-4402.386,432,-11568
Western,1323,1142,ON,London,Physics,Physics and Astronomy,MSc,https://www.physics.uwo.ca/,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2,18741,10467.98,,,,,2024-04-12,,1,1.5,3,3,"Another unclear sheet of tuition/fee structures. It appears that there's a single year charge for international students, then a per-term tuition cost.",https://www.registrar.uwo.ca/student_finances/fees_refunds/pdfsfeeschedule/Grad%20Fees%20-%20Winter%202022%20FT%20INTL.pdf,,22170,London Ont 404699,25402.386,1800,21600,-14934.406,-11132.02,-23132.02,-28994.336,-25191.95,-37191.95
Western,1323,1142,ON,London,Physics,Physics and Astronomy,PhD,https://www.physics.uwo.ca/,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4,18741,10467.98,,,,,2024-04-12,,1,1.5,3,3,The graduate handbook appears to be nearly a decade out of date? should contact them.,,,22170,London Ont 404699,25402.386,1800,21600,-14934.406,-11132.02,-23132.02,-15603.326,-11800.94,-23800.94
Western,1323,1142,ON,London,Biological Sciences - Ecology,Department of Biology ,MSc,uwo.ca/biology ,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2,26091.46,17818.44,37921.46,15588.51,280,,2024-06-05,2023-4,1,1.5,1,3,One of the clearest pages for funding I've come across. Western also has an Affordability Calculator: https://grad.uwo.ca/finances/affordability_calculator.cfm ,,https://uwo.ca/biology/graduate/future-students/financial-support.html,22170,London Ont 404699,25402.386,1800,21600,-7583.946,-3781.56,-15781.56,-9813.876,-6011.49,-18011.49
Western,1323,1142,ON,London,Biological Sciences - Ecology,Department of Biology ,PhD,uwo.ca/biology ,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4,26091.46,17818.44,26091.46,17149.52,280,,2024-06-05,2023-4,1,1.5,1,3,,,https://uwo.ca/biology/graduate/future-students/financial-support.html,22170,London Ont 404699,25402.386,1800,21600,-7583.946,-3781.56,-15781.56,-8252.866,-4450.48,-16450.48
Wilfrid Laurier,421,114,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,MSc,https://wlu.ca/programs/science/graduate/integrative-biology-msc/index.html,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,,21500,11841.44,,,Optional,,19-02-2024,,0,0.25,1,0,Website indicates that numbers might vary between programs but program page redirects to common weboage,https://www.wlu.ca/academics/faculties/graduate-and-postdoctoral-studies/tuition-and-funding/index.html?ref=graduate-and-postdoctoral-studies%2Ffunding-at-a-glance%2Findex.html,https://downloads.wlu.ca/downloads/programs/science/biology/documents/msc-biology-2016-handbook.pdf,22170,Waterloo,25402.386,1714,20568,-13560.946,-8726.56,-20726.56,-27943.576,-23109.19,-35109.19
Wilfrid Laurier,421,114,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,PhD,https://wlu.ca/programs/science/graduate/biological-and-chemical-sciences-phd/index.html,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,4,27500,17841.44,,,Optional,,19-02-2024,,0,0.25,1,0,Website indicates that numbers might vary between programs but program page redirects to common weboage,https://www.wlu.ca/academics/faculties/graduate-and-postdoctoral-studies/tuition-and-funding/index.html?ref=graduate-and-postdoctoral-studies%2Ffunding-at-a-glance%2Findex.html,https://students.wlu.ca/programs/science/biological-and-chemical-sciences/awards-and-funding.html,22170,Waterloo,25402.386,1714,20568,-7560.946,-2726.56,-14726.56,-21943.576,-17109.19,-29109.19
York,1296,567,ON,Toronto,Biological Sciences - Ecology,Department of Biology,MSc,https://www.yorku.ca/gradstudies/biology/current-students/degree-requirements/#msc,4306.53,891.36,5197.89,18825,1647.36,20472.36,,Yes,2,26368,21170.11,44493,5895.64,,,2024-07-16,2024-5,1,1.5,3,2,,,https://www.yorku.ca/gradstudies/biology/future-students/york-graduate-funding/,24864,Toronto,28489.1712,2620,31440,-7319.0612,-10269.89,-22269.89,-22593.5312,-25544.36,-37544.36
York,1296,567,ON,Toronto,Biological Sciences - Ecology,Department of Biology,PhD,https://www.yorku.ca/gradstudies/biology/current-students/degree-requirements/#phd,4306.53,891.36,5197.89,18000,1647.36,19647.36,,Yes,5,28944,23746.11,43668,9296.64,,,2024-07-16,2024-5,1,1.5,3,2,,,https://www.yorku.ca/gradstudies/biology/future-students/york-graduate-funding/,24864,Toronto,28489.1712,2620,31440,-4743.0612,-7693.89,-19693.89,-19192.5312,-22143.36,-34143.36
York,1296,567,ON,Toronto,Physics,Physics and Astronomy,MSc,https://www.yorku.ca/science/physics/,4306.53,891.36,5197.89,18825,1647.36,20472.36,,Yes,,30817,25619.11,48493,28020.64,,,2024-04-18,,1,1.5,2,1,Included the UHIP in the ancillary fees cost,https://sfs.yorku.ca/fees/courses/2024/summer/graduate-studies/masters,https://www.yorku.ca/gradstudies/physics-astronomy/future-students/york-graduate-funding/,24864,Toronto,28489.1712,2620,31440,-2870.0612,-5820.89,-17820.89,-468.5312,-3419.36,-15419.36
York,1296,567,ON,Toronto,Physics,Physics and Astronomy,PhD,,4306.53,891.36,5197.89,18000,1647.36,19647.36,,Yes,,31817,26619.11,48668,29020.64,,,2024-04-18,,1,1.5,2,1,,,https://www.yorku.ca/gradstudies/physics-astronomy/future-students/york-graduate-funding/,24864,Toronto,28489.1712,2620,31440,-1870.0612,-4820.89,-16820.89,531.4688,-2419.36,-14419.36
Calgary,1509,1176,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,MSc,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-msc-thesis,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,Calgary,28773.3296,1728,20736,,,,,,
Calgary,1509,1176,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,PhD,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-phd ,3603.96,2025.56,5629.52,8404.53,2025.56,10430.09,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,Calgary,28773.3296,1728,20736,,,,,,
Calgary,1509,1176,AB,Calgary,Physics,Physics and Astronomy,MSc,,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,Calgary,28773.3296,1728,20736,,,,,,
Calgary,1509,1176,AB,Calgary,Physics,Physics and Astronomy,PhD,,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,Calgary,28773.3296,1728,20736,,,,,,
Carleton,740,361,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,https://carleton.ca/biology/guidelines/,7842,2043.42,9885.42,25902,2799.42,28701.42,,,,,,,,10 if on a Full Teaching Assistantship,yes,2024-02-13,2023-4,1,1.5,1,0,Posted tuition amounts include ancillary fees. General to graduate admissions,https://carleton.ca/studentaccounts/tuition-fees/,,24408,"Ottawa, On",27966.6864,2058,24696,,,,,,
Carleton,740,361,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,https://carleton.ca/biology/guidelines/,7428,2043.42,9471.42,19590,2799.42,22389.42,,,,,,,,10 if on a Full Teaching Assistantship,yes,2024-02-13,2023-4,1,1.5,1,0,Posted tuition amounts include ancillary fees,https://carleton.ca/studentaccounts/tuition-fees/,,24408,"Ottawa, On",27966.6864,2058,24696,,,,,,
Lethbridge,209,95,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,MSc,https://www.ulethbridge.ca/artsci/biological-sciences,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,,,,,,
Lethbridge,209,95,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,PhD,,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,,,,,,
Lethbridge,209,95,AB,Lethbridge,Physics,Department of Physics & Astronomy,MSc,https://www.ulethbridge.ca/artsci/physics-astronomy,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,,,,,,
Lethbridge,209,95,AB,Lethbridge,Physics,Department of Physics & Astronomy,PhD,,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,,,,,,
Saint Mary's,179,54,NS,Halifax,Physics,Astronomy and Physics,MSc,https://www.smu.ca/astronomy-physics/index.html,6591,1713,8304,14596,2748,17344,,,,,,,,,,,,1,2,0,0,,https://www.smu.ca/academics/graduate-tuition-fees.html,,23264,Halifax,26655.8912,1909,22908,,,,,,
Saint Mary's,179,54,NS,Halifax,Physics,Astronomy and Physics,PhD,https://www.smu.ca/astronomy-physics/index.html,5909,1713,7622,10955,2748,13703,,,,,,,,,,,,1,2,0,0,,https://www.smu.ca/academics/graduate-tuition-fees.html,,23264,Halifax,26655.8912,1909,22908,,,,,,
Sherbrooke,771,,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,MSc,,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,,,,,,,,
Sherbrooke,771,,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,PhD,,4321.35,1329.39,5650.74,4320,1335,5655,Full,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,,,,,,,,
Sherbrooke,771,,QC,Sherbrooke,Physics,Physique,MSc,,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,,,,,,,2024-06-04,,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.8258,,,,,,,,
Trent,220,95,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,MSc,https://www.trentu.ca/physics/,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,,,,,,,,,,,,,Included the health and dental fees,https://www.trentu.ca/graduatestudies/tuition-awards-fundin ,,21049,Peterborough ont 84230 pop Medium population Center,24117.9442,,,,,,,,
Trent,220,95,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,PhD,,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,,,,,,,,,,,,,,https://www.trentu.ca/graduatestudies/tuition-awards-fundin ,,21049,Peterborough ont 84230 pop Medium population Center,24117.9442,,,,,,,,
UNBC,132,72,BC,Prince George,Physics,Department of Physics,MSc,https://www2.unbc.ca/physics,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,,,,,,,,,2024-03-28,,0,1,0,0,"AF: Had to email to get info. No info on graduate program on dept website, had to go to Univ. website (nightmare) to get data",https://www2.unbc.ca/sites/default/files/sections/finance/accounts-receivable/studentfees-grad_13.pdft,,22255,"Prince George BC 74,003 population Medium population Center",25499.779,,,,,,,,
University of Winnipeg,172,86,MB,Winnipeg,Biological Sciences - Ecology,Biology,MSc,https://www.uwinnipeg.ca/biology/graduate/our-program.html,7385.52,1312.22,8697.74,15205.02,2746.22,17951.24,,,,,,,,,,2024-07-15,2024-2025,1,1.5,,0,,,,22714,Winnipeg,26025.7012,1232,14784,,,,,,
Windsor,427,140,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,MSc,https://www.uwindsor.ca/science/integrative-biology/315/graduate-programs-ibio,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,,,,,,,,,2024-04-18,2023-2024,1,2,0,0,,https://www.uwindsor.ca/finance/fee-estimator,,22170,"Windsor, Ont 233763 population large population",25402.386,1588,19056,,,,,,
Windsor,427,140,ON,Windsor,Biological Sciences - Ecology,Department of Integrative Biology ,PhD,https://www.uwindsor.ca/science/integrative-biology/315/graduate-programs-ibio,7179.3,1531.45,8710.75,23685,2271.61,25956.61,,,,,,,,,,2024-04-18,2023-2024,1,2,0,0,,https://www.uwindsor.ca/finance/fee-estimator,,22170,"Windsor, Ont 233763 population large population",25402.386,1588,19056,,,,,,
