University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Guelph,912,445,ON,Guelph,Physics,Physics,MSc,7132.59,2060.8,9193.39,20512.62,2816.8,23329.42,,Yes,2,28376.92,19183.53,41756.95,18427.53,140,,,,1,2,Obtained by Email,Obtained by Email,22170,"Guelph Ont, 135,474 population",25402.39,2036,24432,-6218.86,-5248.47,-17248.47,-6974.86,-6004.47,-18004.47
Guelph,912,445,ON,Guelph,Physics,Physics,PhD,6992.07,2060.8,9052.87,19680.81,2816.8,22497.61,,Yes,4,30601.92,21549.05,43290.66,20793.05,140,,,,1,2,Obtained by Email,Obtained by Email,22170,"Guelph Ont, 135,474 population",25402.39,2036,24432,-3853.34,-2882.95,-14882.95,-4609.34,-3638.95,-15638.95
McMaster,1256,909,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,MSc,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2,27339,19941.14,More to offset tution,,,,,,1,1,2,1,22472,Hamilton,25748.42,1901,22812,-5807.28,-2870.86,-14870.86,Data Unavailable,Data Unavailable,Data Unavailable
McMaster,1256,909,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,PhD,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4,30327,22929.14,,,,,,,1,1,2,1,22472,Hamilton,25748.42,1901,22812,-2819.28,117.14,-11882.86,Data Unavailable,Data Unavailable,Data Unavailable
McMaster,1256,909,ON,Hamilton,Physics,Physics and Astronomy,MSc,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2,29172.32,21774.46,More to offset higher tuition,,260 a year,,45489,,Obtained by Email,Obtained by Email,Obtained by Email,Obtained by Email,22472,Hamilton,25748.42,1901,22812,-3973.96,-1037.54,-13037.54,Data Unavailable,Data Unavailable,Data Unavailable
McMaster,1256,909,ON,Hamilton,Physics,Physics and Astronomy,PhD,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4,29172.32,21774.46,29172.32,21018.46,260 a year,,45489,,Obtained by Email,Obtained by Email,Obtained by Email,Obtained by Email,22472,Hamilton,25748.42,1901,22812,-3973.96,-1037.54,-13037.54,-4729.96,-1793.54,-13793.54
Queen's,1110,1448,ON,Kingston,Biological Sciences - Ecology,Biology Department,MSc,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2,24300,17044.21,Not Specified,Not Specified,,,,2022-2023,1,1.5,2,2,22170,"Kingston, Ont 136685 pop",25402.39,1767,21204,-8358.18,-4159.79,-16159.79,-16268.64,-12070.25,-24070.25
Queen's,1110,1448,ON,Kingston,Biological Sciences - Ecology,Biology Department,PhD,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4,26300,19044.21,Not Specified,Not Specified,,,,2022-2023,1,1.5,2,2,22170,"Kingston, Ont 136685 pop",25402.39,1767,21204,-6358.18,-2159.79,-14159.79,-7114.18,-2915.79,-14915.79
Queen's,1110,1448,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",MSc,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2,26642,19386.21,Not Specified,Not Specified,,,,,1,1.5,3,2,22170,"Kingston, Ont 136685 pop",25402.39,1767,21204,-6016.18,-1817.79,-13817.79,-13926.64,-9728.25,-21728.25
Queen's,1110,1448,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",PhD,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4,27842,20586.21,Not Specified,Not Specified,,,,,1,1.5,3,2,22170,"Kingston, Ont 136685 pop",25402.39,1767,21204,-4816.18,-617.79,-12617.79,-5572.18,-1373.79,-13373.79
Western,1323,1142,ON,London,Biological Sciences - Ecology,Department of Biology ,MSc,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2,26091.46,17818.44,37921.46,15588.51,280,,45448,45017,1,1.5,1,3,22170,London Ont 404699,25402.39,1800,21600,-7583.95,-3781.56,-15781.56,-9813.88,-6011.49,-18011.49
Western,1323,1142,ON,London,Biological Sciences - Ecology,Department of Biology ,PhD,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4,26091.46,17818.44,26091.46,17149.52,280,,45448,45017,1,1.5,1,3,22170,London Ont 404700,25402.39,1800,21600,-7583.95,-3781.56,-15781.56,-8252.87,-4450.48,-16450.48
Western,1323,1142,ON,London,Physics,Physics and Astronomy,MSc,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2,18741,10467.98,Not Specified,Not Specified,,,45394,,1,1.5,3,3,22170,London Ont 404701,25402.39,1800,21600,-14934.41,-11132.02,-23132.02,-28994.34,-25191.95,-37191.95
Western,1323,1142,ON,London,Physics,Physics and Astronomy,PhD,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4,18741,10467.98,Not Specified,Not Specified,,,45394,,1,1.5,3,3,22170,London Ont 404702,25402.39,1800,21600,-14934.41,-11132.02,-23132.02,-15603.33,-11800.94,-23800.94
Ottawa,1379,334,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2,22672,13367.01,Not Specified,Not Specified,65-90.5,,45352,2023-20234,0,0,1,0,24408,Ottawa,27966.69,2058,24696,-14599.68,-11328.99,-23328.99,-37148.22,-33877.53,-45877.53
Ottawa,1379,334,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,4,22672,14370.54,Not Specified,Not Specified,65-90.5,,45352,2023-20234,0,0,1,0,24408,Ottawa,27966.69,2058,24696,-13596.15,-10325.46,-22325.46,-16463.1,-13192.41,-25192.41
Ottawa,1379,334,ON,Ottawa,Physics,Department of Physics,MSc,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2,22876,13571.01,22876,-8977.53,,,45352,2023-20234,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,24408,Ottawa,27966.69,2058,24696,-14395.68,-11124.99,-23124.99,-36944.22,-33673.53,-45673.53
Ottawa,1379,334,ON,Ottawa,Physics,Department of Physics,PhD,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,5,25676,17374.54,25676,14507.59,,,45352,2023-20234,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,24408,Ottawa,27966.69,2058,24696,-10592.15,-7321.46,-19321.46,-13459.1,-10188.41,-22188.41
Acadia,114,120,NS,Wolfville,Biological Sciences - Ecology,Biology,MSc,6363.5,735,7098.5,14750.52,1279,16029.52,,Yes,2,20000,12901.5,Not Specified,Not Specified,,,45355,2024-2024,1,1.5,Obtained by Email,Obtained by Email,21868,"Wolfville, NS 4195 population (!) Small population Center",25056.35,Data Unavailabe,Data Unavailabe,-12154.85,Data Unavailable,Data Unavailable,-21085.87,Data Unavailable,Data Unavailable
Acadia,114,120,NS,Wolfville,Biological Sciences - Ecology,Biology,PhD,10847,1095,11942,24620,1639,26259,,Yes,2,20000,8058,Not Specified,Not Specified,,,45355,2024-2024,1,1.5,Obtained by Email,Obtained by Email,21868,"Wolfville, NS 4195 population (!) Small population Center",25056.35,Data Unavailabe,Data Unavailabe,-16998.35,Data Unavailable,Data Unavailable,-31315.35,Data Unavailable,Data Unavailable
Ontario Tech University,231,26,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,MSc,7579.3,2223.18,9802.48,20124.3,2979.18,23103.48,,Yes,,16000,6197.52,,,,,,,0,1.5,1,0,22170,Oshawa Ont 170071 pop,25402.39,1860,22320,-19204.87,-16122.48,-28122.48,-32505.87,-29423.48,-41423.48
Ontario Tech University,231,26,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,PhD,7579.3,2223.18,9802.48,19166,2979.18,22145.18,,Yes,,18000,8197.52,,,,,,,0,1.5,1,0,22170,Oshawa Ont 170071 pop,25402.39,1860,22320,-17204.87,-14122.48,-26122.48,-29547.57,-26465.18,-38465.18
Carleton,740,361,ON,Ottawa,Physics,Physics,MSc,7842,2043.42,9885.42,25902,2799.42,28701.42,,Yes,Does not specify,32000,22114.58,Not Specified,Not Specified,,,,,1,1.5,3,0,24408,"Ottawa, On",27966.69,2058,24696,-5852.11,-2581.42,-14581.42,-24668.11,-21397.42,-33397.42
Carleton,740,361,ON,Ottawa,Physics,Physics,PhD,7428,2043.42,9471.42,19590,2799.42,22389.42,,Yes,Does not specify,36000,26528.58,Not Specified,Not Specified,,,,,1,1.5,3,0,24408,"Ottawa, On",27966.69,2058,24696,-1438.11,1832.58,-10167.42,-14356.11,-11085.42,-23085.42
Trent,220,95,ON,Peterborough,Biological Sciences - Ecology,"Graduate programs are through the interdisciplinary 
Environmental & Life Sciences Graduate Programs",MSc,8090.87,458.67,8549.54,22276.07,458.67,22734.74,,Yes,2,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45363,,0,1,0,0,21049,Peterborough ont 84230 pop Medium population Center,24117.94,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Trent,220,95,ON,Peterborough,Biological Sciences - Ecology,"Graduate programs are through the interdisciplinary 
Environmental & Life Sciences Graduate Programs",PhD,8090.87,458.67,8549.54,22276.07,458.67,22734.74,,Yes,4,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45363,,0,1,0,0,21049,Peterborough ont 84230 pop Medium population Center,24117.94,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Brock,385,122,ON,St. Catharines,Biological Sciences - Ecology,Department of Biological Sciences,MSc,8176.23,1789.67,6725.34,20926.02,2545.67,20401.02,None indicated,Yes,2,16591.2,-3809.82,23591.2,3190.18,10,Not provided,45363,45017,0,1,0,2,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.39,1628,19536,-29212.21,-23345.82,-35345.82,-22212.21,-16345.82,-28345.82
Brock,385,122,ON,St. Catharines,Biological Sciences - Ecology,Department of Biological Sciences,PhD,8176.23,1789.67,6725.34,20926.02,2545.67,20401.02,None indicated,Yes,4,21591.2,1190.18,32091.2,11690.18,10,Not provided,45363,45017,0,1,0,2,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.39,1628,19536,-24212.21,-18345.82,-30345.82,-13712.21,-7845.82,-19845.82
University of Toronto,3724,3267,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,MSc,6390,2000,8390,28900,2800,31700,Some exemptions available,Yes,16 months,33214,24824,Not Specified,Not Specified,140 hours per year,Not specified,45363,45017,,,3,1,24864,Toronto,28489.17,2620,31440,-3665.17,-6616,-18616,-26975.17,-29926,-41926
University of Toronto,3724,3267,ON,Toronto,Biological Sciences - Ecology,Department of Ecology & Evolutionary Biology,PhD,6210,2000,8210,6210,2800,9010,Some exemptions available,Yes,"4-5, depending on admission stream (direct entry into PhD, or roll-up from MSc)",33214,25004,Not Specified,Not Specified,140 hours per year,Not specified,45363,45017,,,3,1,24864,Toronto,28489.17,2620,31440,-3485.17,-6436,-18436,-4285.17,-7236,-19236
York,1296,567,ON,Toronto,Biological Sciences - Ecology,Department of Biology,MSc,4306.53,891.36,5197.89,18825,1647.36,20472.36,,Yes,2,26368,21170.11,44493,5895.64,,,45489,45413,1,1.5,3,2,24864,Toronto,28489.17,2620,31440,-7319.06,-10269.89,-22269.89,-22593.53,-25544.36,-37544.36
York,1296,567,ON,Toronto,Biological Sciences - Ecology,Department of Biology,PhD,4306.53,891.36,5197.89,18000,1647.36,19647.36,,Yes,5,28944,23746.11,43668,9296.64,,,45489,45413,1,1.5,3,2,24864,Toronto,28489.17,2620,31440,-4743.06,-7693.89,-19693.89,-19192.53,-22143.36,-34143.36
Waterloo,1226,492,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,MSc,6762,1610.82,8372.82,23088,2366.82,25454.82,Additional funding may be available to offset international tuition differential,Yes,2,26073,17700.18,Not Specified,Not Specified,10 hours/week for 2 terms if holding a GTA,,45363,45017,0,1,2,1,22170,"Waterloo ont, 113520 population, large population center",25402.39,1714,20568,-7702.21,-2867.82,-14867.82,-24784.21,-19949.82,-31949.82
Waterloo,1226,492,ON,Waterloo,Biological Sciences - Ecology,Department of Biology ,PhD,6762,1610.82,8372.82,22188,2366.82,24554.82,Additional funding may be available to offset international tuition differential,Yes,4,26073,17700.18,Not Specified,Not Specified,10 hours/week for 2 terms if holding a GTA,,45363,45017,0,1,2,1,22170,"Waterloo ont, 113520 population, large population center",25402.39,1714,20568,-7702.21,-2867.82,-14867.82,-23884.21,-19049.82,-31049.82
Waterloo,1226,492,ON,Waterloo,Physics,Department of Physics and Astronomy,MSc,6762,1610.82,8372.82,23088,2366.82,25454.82,Additional funding may be available to offset international tuition differential,Yes,2,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,45371,45017,0,1,3,1,22170,"Waterloo ont, 113520 population, large population center",25402.39,1714,20568,-4402.39,432,-11568,-4402.39,432,-11568
Waterloo,1226,492,ON,Waterloo,Physics,Department of Physics and Astronomy,PhD,6762,1610.82,8372.82,22188,2366.82,24554.82,Additional funding may be available to offset international tuition differential,Yes,4,,21000,,21000,10 hours/week for 2 terms if holding a GTA,,45371,45017,0,1,3,1,22170,"Waterloo ont, 113520 population, large population center",25402.39,1714,20568,-4402.39,432,-11568,-4402.39,432,-11568
Wilfrid Laurier,421,114,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,MSc,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,,21500,11841.44,Not Specified,Not Specified,Optional,,45341,,0,0.25,1,0,22170,Waterloo,25402.39,1714,20568,-13560.95,-8726.56,-20726.56,-27943.58,-23109.19,-35109.19
Wilfrid Laurier,421,114,ON,Waterloo,Biological Sciences - Ecology,MSc Integrative Biology; PhD Biology and Chemical Sciences,PhD,6788.76,2869.8,9658.56,21171.39,2869.8,24041.19,Legal dependants,Yes,4,27500,17841.44,Not Specified,Not Specified,Optional,,45341,,0,0.25,1,0,22170,Waterloo,25402.39,1714,20568,-7560.95,-2726.56,-14726.56,-21943.58,-17109.19,-29109.19
McGill,1676,1822,QC,Montreal,Biological Sciences - Ecology,Department of Biology,MSc,2880.9,2330.62,5211.52,19728,2840,22568,Full,Yes,2,25709.52,20498,,20498,180/yr,,45449,2024-2025,1,2,3,3,20753,Montreal,23778.79,1769,21228,-3280.79,-730,-12730,-3280.79,-730,-12730
McGill,1676,1822,QC,Montreal,Biological Sciences - Ecology,Department of Biology,PhD,2880.9,2330.62,5211.52,17708.4,2840,20548.4,Full,Yes,45416,27274.52,22063,,22063,180/yr,,45449,2024-2025,1,2,3,3,20753,Montreal,23778.79,1769,21228,-1715.79,835,-11165,-1715.79,835,-11165
McGill,1676,1822,QC,Montreal,Physics,Department of Physics,MSc,2880.9,2330.62,5211.52,19728,2840,22568,,Yes,,25500,20288.48,42347.1,19779.1,,,45415,2023-2024,2,2,3,2,20753,Montreal,23778.79,1769,21228,-3490.31,-939.52,-12939.52,-3999.69,-1448.9,-13448.9
McGill,1676,1822,QC,Montreal,Physics,Department of Physics,PhD,2880.9,2330.62,5211.52,17708.4,2840,20548.4,,Yes,,25500,20288.48,40327.5,19779.1,,,45415,2023-2024,2,2,3,2,20753,Montreal,23778.79,1769,21228,-3490.31,-939.52,-12939.52,-3999.69,-1448.9,-13448.9
UdeM,1277,442,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,MSc,4450.95,1992.27,6443.22,30479.85,1992.27,32472.12,,Yes,?,13000,6556.78,Not Specified,Not Specified,,,45449,2024,1,1.5,3,1,20753,Montreal,23778.79,1769,21228,-17222.01,-14671.22,-26671.22,-43250.91,-40700.12,-52700.12
UdeM,1277,442,QC,Montreal,Biological Sciences - Ecology,Department of Biological Science,PhD,4450.95,1911.27,6362.22,27359.55,1911.27,29270.82,,Yes,?,15000,8637.78,Not Specified,Not Specified,,,45449,2024,1,1.5,3,1,20753,Montreal,23778.79,1769,21228,-15141.01,-12590.22,-24590.22,-38049.61,-35498.82,-47498.82
UdeM,1277,442,QC,Montreal,Physics,Department of Physics,MSc,4450.95,1962.27,6413.22,30479.85,1962.27,32442.12,,Yes,?,16900,10486.78,Not Specified,Not Specified,,,45449,2024-2025,1,1.5,3,0,20753,Montreal,23778.79,1769,21228,-13292.01,-10741.22,-22741.22,-39320.91,-36770.12,-48770.12
UdeM,1277,442,QC,Montreal,Physics,Department of Physics,PhD,4450.95,1962.27,6413.22,27359.55,1962.27,29321.82,,Yes,?,19400,12986.78,Not Specified,Not Specified,,,45449,2024-2025,1,1.5,3,0,20753,Montreal,23778.79,1769,21228,-10792.01,-8241.22,-20241.22,-33700.61,-31149.82,-43149.82
Concordia,799,143,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,MSc,3241.01,2189.35,7350,22637.93,2189.35,24827.28,,Yes,2,15000,7650,Not Specified,Not Specified,,,45449,2024-2025,1,1,3,0,20753,Montreal,23778.79,1769,21228,-16128.79,-13578,-25578,-33606.06,-31055.28,-43055.28
Concordia,799,143,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,PhD,3146.85,2189.35,5200,20320.43,2189.35,24827.28,,Yes,3,15000,9800,Not Specified,Not Specified,,,45449,2024-2025,1,1,3,0,20753,Montreal,23778.79,1769,21228,-13978.79,-11428,-23428,-33606.06,-31055.28,-43055.28
Concordia,799,143,QC,Montreal,Physics,Department of Physics,MSc,3241.01,2189.35,5430.36,22637.93,2189.35,24827.28,,Yes,,10000,4569.64,Not Specified,Not Specified,,,45490,2024-2025,1,1,0,0,20753,Montreal,23778.79,1769,21228,-19209.15,-16658.36,-28658.36,-38606.06,-36055.28,-48055.28
Concordia,799,143,QC,Montreal,Physics,Department of Physics,PhD,3146.85,2189.35,5336.2,20320.43,2189.35,22509.78,,Yes,,14000,8663.8,Not Specified,Not Specified,,,45490,2024-2025,1,1,0,0,20753,Montreal,23778.79,1769,21228,-15114.99,-12564.2,-24564.2,-32288.56,-29737.78,-41737.78
UQAM,628,Data not found,QC,Montreal,Biological Sciences - Ecology,D??partement des sciences biologiques,MSc,4315,,4315,23840,,23840,,Yes,2,12500,8185,Not Specified,Not Specified,,,45447,2024-2025,1,1,0,0,20753,Montreal,23778.79,1769,21228,-15593.79,-13043,-25043,-35118.79,-32568,-44568
UQAM,628,Data not found,QC,Montreal,Biological Sciences - Ecology,D??partement des sciences biologiques,PhD,4315,,4315,4315,,4315,Full,Yes,4,17000,12685,Not Specified,Not Specified,,,45447,2024-2025,1,1,1,0,20753,Montreal,23778.79,1769,21228,-11093.79,-8543,-20543,-11093.79,-8543,-20543
UQAM,628,Data not found,QC,Montreal,Physics,"No physics department, using Sciences de lƒ??atmosph??re: m??t??o et climat",PhD,4315,,4315,4315,,4315,,Yes,,13000,8685,Not Specified,Not Specified,,,45447,,1,1,0,0,20753,Montreal,23778.79,1769,21228,-15093.79,-12543,-24543,-15093.79,-12543,-24543
Regina,326,60,SK,Regina,Biological Sciences - Ecology,Biology,MSc,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,1,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45488,,0,0.5,0,0,23094,Regina,26461.11,1121,13452,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Regina,326,60,SK,Regina,Biological Sciences - Ecology,Biology,PhD,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,1,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45488,,0,0.5,0,0,23094,Regina,26461.11,1121,13452,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Regina,326,60,SK,Regina,Physics,Physics,MSc,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45418,,0,1,0,0,23094,Regina,26461.11,1121,13452,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Regina,326,60,SK,Regina,Physics,Physics,PhD,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45418,,0,1,0,0,23094,Regina,26461.11,1121,13452,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Saskatchewan,1122,475,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,MSc,4932,1227.39,6159.39,11097,1227.39,12324.39,,Yes,2,18000,11840.61,Not Specified,Not Specified,60,,45419,"2024-2025 (assumed, stipend from email)",1,1.5,0,0,23513,Saskatoon,26941.2,1055,12660,-15100.59,-819.39,-12819.39,-21265.59,-6984.39,-18984.39
Saskatchewan,1122,475,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,PhD,4932,1227.39,6159.39,4932,1227.39,6159.39,,Yes,4,20000,13840.61,Not Specified,Not Specified,60,,,,1,1.5,0,0,23513,Saskatoon,26941.2,1055,12660,-13100.59,1180.61,-10819.39,-13100.59,1180.61,-10819.39
Trent,220,95,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,MSc,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,21049,Peterborough ont 84230 pop Medium population Center,24117.94,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Trent,220,95,ON,Peterborough,Physics,Physics & Astronomy (Materials Science) - Linked to Ontario Tech. Emailed here.,PhD,8090.87,1069.24,9160.11,22276.07,1825.24,24101.31,,,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,21049,Peterborough ont 84230 pop Medium population Center,24117.94,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
University of Toronto,3724,3267,ON,Toronto,Physics,Physics,MSc,6390,2000,8390,28900,2800,31700,,,,36890,28500,,28500,140 hours per year,,45488,45017,1,1,3,3,24864,Toronto,28489.17,2620,31440,10.83,-2940,-14940,10.83,-2940,-14940
University of Toronto,3724,3267,ON,Toronto,Physics,Physics,PhD,6210,2000,8210,6210,2800,9010,,,,36710,28500,,28500,140 hours per year,,45488,45017,1,1,3,3,24864,Toronto,28489.17,2620,31440,10.83,-2940,-14940,10.83,-2940,-14940
York,1296,567,ON,Toronto,Physics,Physics and Astronomy,MSc,4306.53,891.36,5197.89,18825,1647.36,20472.36,,,,30817,25619.11,48493,28020.64,,,45400,,1,1.5,2,1,24864,Toronto,28489.17,2620,31440,-2870.06,-5820.89,-17820.89,-468.53,-3419.36,-15419.36
York,1296,567,ON,Toronto,Physics,Physics and Astronomy,PhD,4306.53,891.36,5197.89,18000,1647.36,19647.36,,,,31817,26619.11,48668,29020.64,,,45400,,1,1.5,2,1,24864,Toronto,28489.17,2620,31440,-1870.06,-4820.89,-16820.89,531.47,-2419.36,-14419.36
TMU (Ryerson),1036,155,ON,Toronto,Physics,Department of Physics,MSc,7612.63,1363.99,8976.62,24260,2119.98,26379.98,No,,,25000,16023.38,Not Specified,Not Specified,10,0,2024-03-20 / 2024-07-15,45017,0,0.5,3,0,24864,Toronto,28489.17,2620,31440,-12465.79,-15416.62,-27416.62,-29869.15,-32819.98,-44819.98
TMU (Ryerson),1036,155,ON,Toronto,Physics,Department of Physics,PhD,7612.63,1363.99,8976.62,23240,2119.99,25359.99,No,,,30000,21023.38,Not Specified,Not Specified,10,0,2024-03-20 / 2024-07-15,45017,0,0.5,3,0,24864,Toronto,28489.17,2620,31440,-7465.79,-10416.62,-22416.62,-23849.16,-26799.99,-38799.99
Sherbrooke,771,Data not found,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,MSc,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45447,,0,1,0,0,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.83,Data Unavailabe,Data Unavailabe,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Sherbrooke,771,Data not found,QC,Sherbrooke,Biological Sciences - Ecology,Biologie,PhD,4321.35,1329.39,5650.74,4320,1335,5655,Full,,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45447,,0,1,0,0,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.83,Data Unavailabe,Data Unavailabe,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Sherbrooke,771,Data not found,QC,Sherbrooke,Physics,Physique,MSc,4321.35,1329.39,5650.74,29595,1335,30930,50% to Full,,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45447,,0,1,0,0,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.83,Data Unavailabe,Data Unavailabe,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Sherbrooke,771,Data not found,QC,Sherbrooke,Physics,Physique,PhD,4321.35,1329.39,5650.74,4320,1335,5655,Full,,,18000,12349.26,Not Specified,Not Specified,,,45447,2017?,0,1,0,0,19601,"Sherbrooke Quebec, 167162 pop Large population center",22458.83,Data Unavailabe,Data Unavailabe,-10109.57,Data Unavailable,Data Unavailable,-10113.83,Data Unavailable,Data Unavailable
